,SN,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Issue Manager,Status
0,1,DPCL,Dolti Power Company Ltd,"1,271,861.00",100.00,2023-04-11,2023-04-16,2023-04-25,Nic Asia Capital Ltd.,Coming Soon
1,2,MJS,Makar Jitumaya Suri Hydropower Company Limited,"2,280,000.00",100.00,2023-04-02,2023-04-05,2023-04-16,Prabhu Capital Ltd.,Open
2,3,BEDCL,Bhugol Energy Development Company Limited,"1,346,993.00",100.00,2023-04-06,2023-04-10,2023-04-20,NIC Asia Capital Ltd.,Coming Soon
3,4,MKHL,Mai Khola Hydropower Limited,"1,921,568.00",100.00,Coming Soon,Coming Soon,Coming Soon,Prabhu Capital Ltd,Coming Soon
4,5,IHL,Ingwa Hydropower Ltd,"1,800,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,Nepal SBI Merchant Banking Ltd.,Coming Soon
5,6,CITY,City Hotel Limited,"1,355,940.00",100.00,2023-05-08,2023-05-11,2023-05-22,Global IME Capital Ltd,Coming Soon
6,7,SMJCL,Sagarmatha Jalbidhyut Company Limited,"3,581,760.00",100.00,2023-03-22,2023-03-26,2023-04-05,Prabhu Capital Ltd.,Closed
7,8,SMTHL,Sanima Middle Tamor Hydropower Limited,"4,248,988.00",100.00,2023-03-10,2023-03-14,2023-03-24,Sanima Capital Ltd,Closed
8,9,BPW,BPW Laghubitta Bittiya Sanstha Limited,"80,950.00",100.00,2023-03-02,2023-03-07,2023-03-16,Mega Capital Markets Ltd.,Closed
9,10,AATMA,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,"169,755.00",100.00,2023-02-23,2023-02-27,2023-03-09,Sunrise Capital Ltd,Closed
